licence_ref,description,licensee_name,trading_name,nominee_name,address_1,address_2,address_3,county
Cn0002,Publican's Licence (7-Day Ordinary),Padraig O'hara,Nicholas O'hara,,Main Street,Arva,,Co. Cavan
Cn0108,Publican's Licence (7-Day Ordinary),Brandon Taverns Limited,The Imperial Hotel,,47 Main Street,Cavan,,Co. Cavan
Cn0144,Publican's Licence (7-Day Ordinary),Peter Owens,The Vintage Bar,,Main Street,Killeshandra,,Co. Cavan
Cn0131,Publican's Licence (7-Day Ordinary),John Sheridan And Matthew Mcgivney,Crosskeys Inn,John Sheridan,Crosskeys,,,Co. Cavan
Cl0076,Publican's Licence (7-Day Ordinary),Jaiphal Ventures Limited,,,49 Market Street,Cootehill,Cavan,Co. Cavan
Cn0114,Publican's Licence (7-Day Ordinary),An Cruiscin Lan,An Cruiscin Lan,,82 Main Street,Cavan,,Co. Cavan
1013263,Wine Retailer's Off Licence,Sandra Smith,Smith's Shop,,Galbolie,Bailieborough,,Co. Cavan
Cn0164,Publican's Licence (7-Day Ordinary),Joseph Brady And Timothy Barry,Laragh House,,Stradone,,,Co. Cavan
Cn0605,Publican's Licence (7-Day Ordinary),Gary O'reilly,The Hideaway Bar,,Cloncovit,Kilcogy,,Co. Cavan
Cn0865,"Spirit, Beer & Wine Retailer's Off Licence",Lidl Ireland Gmbh,Lidl,,Athlone Road,Cavan,,Co. Cavan
Cx0202,Publican's Licence (7-Day Ordinary),Bridie Gallagher,,,Dowra,,,Co. Cavan
Cn0868,Wine Retailer's On Licence,Peter Rafferty,The Bridge Restaurant,,Coleman Road,,Cavan,Co. Cavan
1011906,Wine Retailer's On Licence,Dumitru Dutu And Doina Dutu,Sophias Restaurante,,Bridge Street,Ballyconnell,,Co. Cavan
Cn0752,Wine Retailer's Off Licence,T And K Stores Limited,Spar Ballinagh,,Moores Spar Shop,Main Street,Ballinagh,Co. Cavan
Cn0910,Publican's Licence (7-Day Ordinary),Padraig Gorman,,,Cavan Equestrian Centre,Latt,,Co. Cavan
Dg0641,Publican's Licence (7-Day Ordinary),Arrow Bay Limited,Willows,,Main Street,Kingscourt,,Co. Cavan
1012527,"Spirit, Beer & Wine Retailer's Off Licence",Lidl Ireland Gmbh,,,Ballyjamesduff,Virginia,,Co. Cavan
Cn0811,"Spirit, Beer & Wine Retailer's Off Licence",Donohoe's Supermarket Belturbet Limited,Centra Belturbet,,Erne Hill,Belturbet,,Co. Cavan
Cn0591,Publican's Licence (7-Day Ordinary),Brian Conaty And Thomas Conaty,Langtrys,Brian Conaty,Granard Street,Ballyjamesduff,,Co. Cavan
Cn0784,"Spirit, Beer & Wine Retailer's Off Licence",Dunnes Stores,Dunnes Stores,Kevin O'reilly,Church Street And Extensions Attached,Cavan,,Co. Cavan
1011023,Manufacturer's Licence - Cider Manufacturer,Big Hand Brewing Company Ltd,Big Hand Brewing Company Ltd,Jonatan Scott,Unit F1,Cavan Enterprise Centre,Dublin Road,Co. Cavan
Cn0101,Publican's Licence (7-Day Ordinary),The Black Horse Inn 1999 Limited,The Blackhorse Inn,,2 Church Street,Cavan,,Co. Cavan
Cn0596,Publican's Licence (7-Day Ordinary),Ronan Mccabe And Darragh Mccabe,Mccabe's,,Chapel Street,Ballyjamesduff,,Co. Cavan
Cn0956,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Farnham Hospitality Limited,Farnham Estate Golf And Spa Resort,,Farnham Estate,Loughtee Upper,,Co. Cavan
Cn0338,Publican's Licence (7-Day Ordinary),J And C Vintners Limited,The Bridge Tavern,,Tullylorcan,Beglieve,Canningstown,Co. Cavan
Cn0042,Publican's Licence (7-Day Ordinary),Thomas And Torbhealach Lyons,The Molly Maguires,Thomas Lyons,Main Street,Ballyconnell,,Co. Cavan
Cl0100,Publican's Licence (7-Day Ordinary),"Sean, Niall And Padraig Hannigan",Hannigans,Sean Hannigan,36 Market Street,Cootehill,,Co. Cavan
Cl0067,Publican's Licence (7-Day Ordinary),Niall Hannigan And Padraig Hannigan And Sean Hannigan,Hannigans,Sean Hannigan,38 Market Street,Cootehill,,Co. Cavan
Cn0939,"Spirit, Beer & Wine Retailer's Off Licence",Carenka Limited,Gavins Centra Supermarket,Eamonn Gavin,Main Street,Ballinagh,,Co. Cavan
Cn0810,"Spirit, Beer & Wine Retailer's Off Licence",Donohoe's Supermarket Ballyconnell Limited,Donohoe's Supervalu,,Bridge Street,Ballyconnell,,Co. Cavan
Cn1000,Wine Retailer's Off Licence,Mccabes General Merchants Limited,,,Canningstown,Cootehill,,Co. Cavan
Cn0838,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,Tesco Ireland,,Main Street,Cavan,,Co. Cavan
Cn0163,Publican's Licence (7-Day Ordinary),Bradys The Cross Limited,Brady's The Cross,,Stradone,Clondargan,Laragh,Co. Cavan
1012785,Publican's Licence (7-Day Ordinary),Virginia Park Lodge Limited,The Virginia Park Lodge,,Virginia,,,Co. Cavan
Cn0068,Publican's Licence (7-Day Ordinary),Helen Bridget Morgan,E O'reilly,,Bridge Street,Belturbet,,Co. Cavan
Cn0104,Publican's Licence (7-Day Ordinary),Farnham Arms Hotel Limited,Farnham Arms Hotel,Michael Shiels,Main Street,Cavan,,Co. Cavan
Cn0121,Publican's Licence (7-Day Ordinary),5th Avenue Taverns Limited,Arthurs Bar,James Farrell,34/36 Main Street,Cavan,,Co. Cavan
Cn1005,"Spirit, Beer & Wine Retailer's Off Licence",Mcevoys Eurospar Limited,Mcevoys Eurospar,,Ballyjamesduff Road,Virginia,,Co. Cavan
Cn0045,Publican's Licence (7-Day Ordinary),Ciara Lee Holdings Limited,Lees,Laurence Joseph Lee,Main Street,Ballyconnell,,Co. Cavan
Dg0675,Publican's Licence (7-Day Ordinary),Gerard Austin Traynor,,,Lisdrumskeagh,Shercock,,Co. Cavan
Cn0952,"Spirit, Beer & Wine Retailer's Off Licence",Rodneys Retailing Limited,Centra Ballyjamesduff,,Main Street,Ballyjamesduff,,Co. Cavan
Cn054d,"Wholesaler Dealer in Beer, Wine & Spirits",Bwg Foods Limited,,,Value Centre Cash And Carry,"Unit 2, Century Business Park",Dublin Road,Co. Cavan
Cn0159,Publican's Licence (7-Day Ordinary),San Fran 49ers Taverns Limited,Fitzpatricks Tavern,,Main Street,Lough Gowna,,Co. Cavan
Cn0905,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Cavan Crystal Hospitality Limited,Cavan Crystal Hotel,,Pollamore Near,Loughtee,Annagelliff,Co. Cavan
Cn0080,Publican's Licence (7-Day Ordinary),Adrian Mcguigan And Dermot Mcguigan,The Lawn,Adrian Mcguigan,The Lawn,Belturbet,,Co. Cavan
Cn0147,Publican's Licence (7-Day Ordinary),Dptk Limited,Kelly's,,Main Street,Killeshandra,,Co. Cavan
Dg0690,Publican's Licence (7-Day Ordinary),Kingscourt Castle Limited,Cabra Castle,,Corney,Kingscourt,,Co. Cavan
Cn0927,Wine Retailer's Off Licence,Mcmullen Retail Limited,Mcmullen Daybreak,Harry Mcmullen,Bridge Street,Cootehill,,Co. Cavan
Cn0067,Publican's Licence (7-Day Ordinary),Pure Gold Taverns Limited,The Cosy Bar,Marion Dalton,5 Upper Bridge Street,Belturbet,,Co. Cavan
Dg0585,Publican's Licence (7-Day Ordinary),Tyrells Public House Limited,Tyrrell's,Thomas Tyrell,Mullagh,,,Co. Cavan
Cn0967,Wine Retailer's Off Licence,Jimmar Limited,Argues Londis,,Lisnasaran,Cootehill,,Co. Cavan
Cl0058,Publican's Licence (7-Day Ordinary),Sandra Lee,The West End Bar,,Bridge Street,Cootehill,,Co. Cavan
Cl0158,"Spirit, Beer & Wine Retailer's Off Licence",Kads Supermarkets Limited,Super Valu,,Market Street,Cootehill,,Co. Cavan
Cn0110,Publican's Licence (7-Day Ordinary),Jp Bars Limited,Jp's Bar And Lounge,Jp Mcphillips,57 Main Street,Cavan,,Co. Cavan
1003171,Spirit & Beer Retailer's Off Licence,Sharpmount Limited,Spar Express,,Ballinagh Road,,,Co. Cavan
Cn0970,Wine Retailer's Off Licence,Sharpmount Limited,Spar Express,,Moynehall,Cavan,,Co. Cavan
Dg0657,Publican's Licence (7-Day Ordinary),Escallonia Limited,Failte,Kieran Donohoe,Main Street,Bailieborough,,Co. Cavan
Cn0393,Publican's Licence (7-Day Ordinary),Fsm Catering Services Limited,The Derragarra Inn,,Butlers Bridge,,,Co. Cavan
Cn0117,Publican's Licence (7-Day Ordinary),Old Highbury Inns Limited,The New York Bar,Michael Mooney,62 Main Street,Cavan,,Co. Cavan
Cn0600,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Crover House Hotel Limited,Crover House Hotel,,Mountnugent,,,Co. Cavan
Cn0009sr,Special Restaurant Licence,International Fishing Centre Limited,,,Loughdooley,Drumlane,Loughtee Lower,Co. Cavan
1000095,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,Tesco,,Thomas Street,Bailieborough,,Co. Cavan
Dg0587,Publican's Licence (7-Day Ordinary),Smithform Holdings Sb Limited,Macgabhainns Bar,,Main Street,Virginia,,Co. Cavan
Cn0003r,Manufacturer's Licence - Rectifier of Spirits,Castle Brands Spirits Company Ltd,,,Institute Road,Bailieboro,,Co. Cavan
1008638,Wholesaler Dealer in Spirits,Kerrygold Irish Cream Liqueur Limited,,,Terra Limited,Institute Road,Baileboro,Co. Cavan
Dg0597,Publican's Licence (7-Day Ordinary),Virginia Motel Limited,The Lakeside Manor,Meabh Brady,Burrenrea,Virginia,,Co. Cavan
Dg0649,Publican's Licence (7-Day Ordinary),Sugarloaf Taverns Limited,The Square Bar,,Market Square,Bailieboro,,Co. Cavan
1012166,Wine Retailer's On Licence,Cafe Mana Limited,Cafe Mana Limited,Salesi Tuipulotu,98 Main Street,,,Co. Cavan
Cn0692,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Rona Hotels Limited,Hotel Kilmore,,Killygarry,Dublin Road,Cavan,Co. Cavan
Dg0663,Publican's Licence (7-Day Ordinary),N And J Hall Limited,Hall's,,Main Street,Bailieborough,,Co. Cavan
Cn0183,Publican's Licence (7-Day Ordinary),Old Highbury Inns Limited,The Slieve Rossa,Michael Mooney,Coleman Road,Cavan,,Co. Cavan
Dg0694,Publican's Licence (7-Day Ordinary),Maria Mcphillips,Shercock House,,Main Street,Shercock,,Co. Cavan
Cn0162,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Bronagh Catering Limited,The Pikers Lodge,Geraldine Sheridan,Lough Gowna,,,Co. Cavan
Cn0178,Publican's Licence (7-Day Ordinary),Brian Mccabe,,,Mountainlodge,"Cootehill, Tievenanass","Tullygarvey, Kildrumsherdan",Co. Cavan
Dg0583,Publican's Licence (7-Day Ordinary),Rose Lynch,John Joe Lynch,,Main Street,Mullagh,Via Kells,Co. Cavan
Cn0828,Wine Retailer's Off Licence,Lavey Service Station Limited,Spar Lavey Filling Station,,Lavey Stand,,,Co. Cavan
Dg0578,Publican's Licence (7-Day Ordinary),Michael Denning,Enagh House,,Enagh,Virginia,,Co. Cavan
Cn0877,Publican's Licence (7-Day Ordinary),Gee Bees Limited,The Orchard,,Drumalee,,,Co. Cavan
Cl0072,Publican's Licence (7-Day Ordinary),Philomena Donohoe,Donohoe,,Market Street,Cootehill,,Co. Cavan
Cn0932,"Spirit, Beer & Wine Retailer's Off Licence",Kanya Limited,,,Centra Mullagh,Ard Lo Manor,Mullagh,Co. Cavan
1007950,Wine Retailer's Off Licence,Maguires Service Station Limited,Xl Stop And Shop,Leonard Maguire,Cavan Road,Cootehill,,Co. Cavan
1002885,Wine Retailer's Off Licence,James Duffy And Sons Limited,Duffy's Costcutter,,Market House,Shercock,,Co. Cavan
1012324,Wholesaler Dealer in Beer,The Hyland Brewing Company Limited,,Mark Hyland,Ballyhaise,,,Co. Cavan
Dg0603,Publican's Licence (7-Day Ordinary),Silverdove Limited,The Silver Dove Bar,,Ryefield,Munterconnaght,,Co. Cavan
Cn0610,Publican's Licence (7-Day Ordinary),Pius Denneny,"T/a Pius, Polo Grounds Pub",,Main Street,Kilnaleck,,Co. Cavan
Dg0645,Publican's Licence (7-Day Ordinary),Dun A. Ri Taverns Limited,M And F's Bar,Sean Farrelly,37 Main Street,Kingscourt,,Co. Cavan
Cn0125,Publican's Licence (7-Day Ordinary),Seamus Smith,The Top Of The Town,,Connolly Street,Cavan,,Co. Cavan
1001009,Spirit Retailer's Off Licence,James Anthony Meade,P. Morgan,,Lisnabuntry,Virginia,,Co. Cavan
Dg0678,Publican's Licence (7-Day Ordinary),Delia O'mahony,O'mahony's,,Main Street,Shercock,,Co. Cavan
Dg0679,Publican's Licence (7-Day Ordinary),Brian Ruggles,,,Glasleck,Shercock,,Co. Cavan
Dg0644,Publican's Licence (7-Day Ordinary),Sheila Smith,Gartlans,,Main Street,Kingscourt,,Co. Cavan
Cn0091,Publican's Licence (7-Day Ordinary),Pleasure Dome Entertainment Limited,The Meadowview Lounge,Declan Sheridan,Tirquin,,,Co. Cavan
Dg0685,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Barmult Investments Limited,Hotel Bailie,Patrick Mceneaney,Main Street,Bailieborough,,Co. Cavan
Cn0013sr,Special Restaurant Licence,Lucon Limited,Macnean House And Restaurant,,Main Street,Blacklion,,Co. Cavan
1013078,Wine Retailer's Off Licence,Sirio Retail Operations Limited,,,Kilconny,Belturbet,,Co. Cavan
Cn0066,Publican's Licence (7-Day Ordinary),Shaun Molloy And Sons Limited,The Harbour,Geraldine Molloy,24 Barrack Hill,Belturbet,,Co. Cavan
1001086,"Spirit, Beer & Wine Retailer's Off Licence",Aldi Stores (ireland) Limited,Aldi,,Dublin Road,Killynebber,Cavan,Co. Cavan
1003626,Wine Retailer's Off Licence,Petrogas Group Limited,Applegreen N3 Cavan,Joe Barrett,Lisnanagh,Cavan,,Co. Cavan
1006395,Wholesaler Dealer in Beer,Kelly Hunter Trading Limited,,,Raheelalgh,Stradone,,Co. Cavan
1008266,Wholesaler Dealer in Spirits,Kelly Hunter Trading Limited,Kelly Hunter Trading Limited,Brian R.doyle,Stradone Co Cavan,Stradone,,Co. Cavan
Cn0821,"Spirit, Beer & Wine Retailer's Off Licence",Seamus O'neill,Mace,,Drumalee Cross,Cavan,,Co. Cavan
Cn0480,Publican's Licence (7-Day Ordinary),Toms Taverns Limited,The High Stool,,Annagh Street,Ballyjamesduff,,Co. Cavan
Cn0437,Publican's Licence (7-Day Ordinary),The Lavey Inn Ltd,The Lavey Inn,,Knockanoark,Stradone,,Co. Cavan
Cl0066,Publican's Licence (7-Day Ordinary),Advanced Retro Fit Limited,White Horse Hotel,Owen Tango,Market Street,Cootehill,,Co. Cavan
Cn0003sr,Special Restaurant Licence,G And T Restaurant Limited,The Olde Post Inn,Gearoid Lynch,Cloverhill,Belturbet,,Co. Cavan
Dg0674,Publican's Licence (7-Day Ordinary),Peter Burns,Burns,,Main Street,Shercock,,Co. Cavan
Dg0689,Publican's Licence (7-Day Ordinary),Peter Mckeown,Murtagh's Pub,,Main Street (1st Floor And Part Of Ground Floor),Kingscourt,,Co. Cavan
Cn0620,Publican's Licence (7-Day Ordinary),Peter Brady,Bradys,,Main Street,Kilnaleck,,Co. Cavan
Cn0138,Publican's Licence (7-Day Ordinary),Margaret Gilsenan,Gilsenans,,Main Street,Killeshandra,,Co. Cavan
Cn0894,Wine Retailer's Off Licence,Robert Keith Limited,Keiths Centra Foodmarket,,Main Street,Arva,,Co. Cavan
Cn0912,"Spirit, Beer & Wine Retailer's Off Licence",Marco Supermarkets Limited,Tarpey's Supervalu Supermarket,,Dublin Road,Cavan,,Co. Cavan
1013084,Wine Retailer's On Licence,Chapter One Cafe (cavan) Limited,Chapter One,Grainne Hourican,"Unit 1, Convent Building",12 Main Street,,Co. Cavan
Cn0604,Publican's Licence (7-Day Ordinary),Patrick Sheridan,Sheridans Pub,,Kilcogy,Granard,,Co. Cavan
Cn0156,Publican's Licence (7-Day Ordinary),John Mccaffrey,Mccaffrey's,,Redhills,,,Co. Cavan
Dg0647,Publican's Licence (7-Day Ordinary),Seamus Cooney,The Castle Inn,,Market Square,Bailieborough,,Co. Cavan
Cn0012,Publican's Licence (7-Day Ordinary),Enda Boylan,The Goal Post,,Main Street,Arva,,Co. Cavan
Dg1034,"Spirit, Beer & Wine Retailer's Off Licence",Sprucefield Limited,Harris's Super Valu,,Main Street,Bailieborough,,Co. Cavan
Cl0073,Publican's Licence (7-Day Ordinary),Kieran Mullen,Mullens,,30/32 Market Street,Cootehill,,Co. Cavan
Dg0670,Publican's Licence (7-Day Ordinary),Aine Keenan,Murtaghs,,15 Main Street,Shercock,,Co. Cavan
Dg0635,Publican's Licence (7-Day Ordinary),Gerard Clarke,Clarkes Corner Bar,,Main Street,Kingscourt,,Co. Cavan
Cn0082,Publican's Licence (7-Day Ordinary),Dooncrellan Limited,The Seven Horse Shoes Hotel,,Main Street,Belturbet,,Co. Cavan
Cn0135,Publican's Licence (7-Day Ordinary),Mary Mcgovern,Glan Bar,,Gub,Glangevlin,,Co. Cavan
Cn0123,Publican's Licence (7-Day Ordinary),Cillian Mccann,Blessings,,92 & 93 Main Street,Cavan,,Co. Cavan
Dg0592,Publican's Licence (7-Day Ordinary),Peter Skelly Senior And Julia Skelly And Peter Skelly Junior,The Ramor Lodge Hotel,Peter Skelly Junior,Main Street,Virginia,,Co. Cavan
Cl0075,Publican's Licence (7-Day Ordinary),Francis Mcnally,The Bellamori Arms,,43 Market Street,Cootehill,,Co. Cavan
Cn0394,Publican's Licence (7-Day Ordinary),Tina Sheehan,,,Ardlougher,Ballyconnell,,Co. Cavan
Cn0592,Publican's Licence (7-Day Ordinary),Bannons Bar Limited,The Royal Bar,Patrick Bannon,Ballyjamesduff,,,Co. Cavan
Cn0824,"Spirit, Beer & Wine Retailer's Off Licence",Kor Stores Limited,Kennedy Londis Superstore,,Church Street,Ballyconnell,,Co. Cavan
Cx0491,Publican's Licence (7-Day Ordinary),Gerard Maguire,F Maguire,,Blacklion,,,Co. Cavan
Cn0105,Publican's Licence (7-Day Ordinary),Richard Brady,Brady's,,23 Main Street,Cavan,,Co. Cavan
Cn0112,Publican's Licence (7-Day Ordinary),Joseph Dunne,Dunne's Bar,,71 Main Street,Cavan,,Co. Cavan
Cn0100,Publican's Licence (7-Day Ordinary),Declan Mccaul,Mccauls,,10 Bridge Street,Cavan,,Co. Cavan
Dg0639,Publican's Licence (7-Day Ordinary),Joseph Crosby,Freeman's,,Main Street,Kingscourt,,Co. Cavan
1013368,"Spirit, Beer & Wine Retailer's Off Licence",Parkside Kingscourt Limited,,,Kells Road,Kingscourt,,Co. Cavan
Cn0072,Publican's Licence (7-Day Ordinary),Brendan Fay,The Widows Bar,,Main Street,Belturbet,,Co. Cavan
Cn0741,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Slieve Russell Hotel Property Limited,Slieve Russell Hotel Golf And Country Club,,Cranaghan,Ballyconnell,,Co. Cavan
Cn0594,Publican's Licence (7-Day Ordinary),Shirley Byers,Crowes Corner,,Dublin Street,Ballyjamesduff,,Co. Cavan
Dg0677,Publican's Licence (7-Day Ordinary),Paul Reilly,Lynchs Bar,,Main Street,Shercock,,Co. Cavan
Cn0342,Publican's Licence (7-Day Ordinary),John P. Fitzpatrick,The Hillside Tavern,,Killeshandra,,,Co. Cavan
1012760,Wine Retailer's On Licence,Stephanie Dodd,Delicious Coffee House And Delicatessen,,Lower Main Street,Kingscourt,,Co. Cavan
Cn0601,Publican's Licence (7-Day Ordinary),Blaithin O'reilly,Glann Bar And Lounge,,Glan,Kilcogy,,Co. Cavan
Cx0206,Publican's Licence (7-Day Ordinary),Ella O'rourke,,,Dowra.,,,Co. Cavan
Cn0011,Publican's Licence (7-Day Ordinary),Hugh Brady,Hughies,,Main Street,Arva,,Co. Cavan
Cn0039,Publican's Licence (7-Day Ordinary),Woodford Arms Limited,The Woodford Arms,Colleen Maguire,Derryginny,Ballyconnell,,Co. Cavan
Cn0003,Publican's Licence (7-Day Ordinary),Emmett Sloane,The Brewery,,Main Street,Arva,,Co. Cavan
Cn0046,Publican's Licence (7-Day Ordinary),Kevin Taylor,The Brandywell Bar,,Ballyconnell,,,Co. Cavan
Cn0590,Publican's Licence (7-Day Ordinary),Mary O'reilly,Colm's Bar,,Oldcastle Road,Ballyjamesduff,,Co. Cavan
Cn0174,Publican's Licence (7-Day Ordinary),Anthony (otherwise Tony) Cullen,The Stables Bar,,Bridge Street/main Street,Swanlinbar,,Co. Cavan
1005808,Wine Retailer's On Licence,Chun Yun Lin And Hefeng Chen,Genesis Restaurant,,22 Main Street,Belturbet,,Co. Cavan
Cn1004,Wine Retailer's Off Licence,White's Of Loch Gowna Limited,,Mairead White,Lough Gowna,Cavan,,Co. Cavan
Cn0143,Publican's Licence (7-Day Ordinary),Michael O'reilly,Shamrock Inn,Michael O'reilly,Main Street,Killeshandra,,Co. Cavan
Cn0078,Publican's Licence (7-Day Ordinary),John Flynn,Flynns Bar,,Kilconny,Belturbet,,Co. Cavan
Cn0040,Publican's Licence (7-Day Ordinary),Terence Mcgovern,Lizzies,,Ballyconnell,,,Co. Cavan
Cx0488,Publican's Licence (7-Day Ordinary),The Dugout Pub Limited,The Dugout,Stiofan Mullally,Toam,Blacklion,,Co. Cavan
Cn0134,Publican's Licence (7-Day Ordinary),Brian Boylan,The Tank,,Carrickaboy,,,Co. Cavan
Cn0695,Wine Retailer's On Licence,Buckey Cheung,Happy Valley Restaurant,,79 Main Street,Cavan,,Co. Cavan
Dg0638,Publican's Licence (7-Day Ordinary),Cabra Bars Limited,Malones Bar,,Church Street,Kingscourt,,Co. Cavan
Cn0161,Publican's Licence (7-Day Ordinary),White's Of Loch Gowna Limited,Whites,Mairead White,Lough Gowna,,,Co. Cavan
Cn0010,Publican's Licence (7-Day Ordinary),John Lynch,Lynch's,,Main Street,Arva,,Co. Cavan
1012517,Wine Retailer's Off Licence,Hickey Stores Limited,Hickey Stores Limited,Patricia Leddy,Milltown,Beltubet,,Co. Cavan
Cn0404,Publican's Licence (7-Day Ordinary),Patrick Anthony Brady,The Shantully Inn,,Crossdoney,,,Co. Cavan
Cn0837,Wine Retailer's Off Licence,Hangate Limited,Smiths,,Mountnugent,,,Co. Cavan
Cn0054,Publican's Licence (7-Day Ordinary),Paula Cosgrove,Ballymac Inn,,Ballymagovern,Garadice P O,,Co. Cavan
Dg0659,Publican's Licence (7-Day Ordinary),Patrick Owens,Kangley's Pub,,Main Street,Bailieborough,,Co. Cavan
Cn0057,Publican's Licence (7-Day Ordinary),Peter Noel Smith,Rocks Of Bawn,,Bawnboy,,,Co. Cavan
Cn0059,Publican's Licence (7-Day Ordinary),Derrynaflan Catering Limited,Caseys Steak Bar,Ciaran Casey,Ballinagh,,,Co. Cavan
Cn0649,Publican's Licence (7-Day Ordinary),Christina Mcenroe,The Bridge Inn,,Mountnugent,Kilbride,,Co. Cavan
Dg0594,Publican's Licence (7-Day Ordinary),Blackwater Bar Limited,The Whistlestop,,Main Street,Virginia,,Co. Cavan
Cx0204,Publican's Licence (7-Day Ordinary),Brian Wynne,The Shannon House,,Dowra,,,Co. Cavan
Cn0896,Wine Retailer's Off Licence,Celia O'reilly,O'reillys,,Main Street,Kilnaleck,,Co. Cavan
1013074,"Spirit, Beer & Wine Retailer's Off Licence",Dermot Lee,Lee's Gala,,No 1 Church View,Ballyhaise,,Co. Cavan
Cn0074,Publican's Licence (7-Day Ordinary),Ann Fitzpatrick,The Duckin Stool,,Main Street,Belturbet,,Co. Cavan
Dg0637,Publican's Licence (7-Day Ordinary),Aisling Mcmahon,The Wishing Well,,Main Street,Kingscourt,,Co. Cavan
Cn0993,"Spirit, Beer & Wine Retailer's Off Licence",Rudden Service Station Limited,Londis,Padraig Rudden,Railway Road,Cavan,,Co. Cavan
Cn0051,Publican's Licence (7-Day Ordinary),Eamonn Donohoe,Donohoes Lounge Bar,,Ballyhaise,,,Co. Cavan
Dg0653,Publican's Licence (7-Day Ordinary),Michael Giles,M. Giles And Sons,,Barrack Street,Bailieborough,,Co. Cavan
